vlc-2.0.5/bin/winvlc.c;79;error;memleakOnRealloc;Common realloc mistake: 'argv' nulled but not freed upon failure
vlc-2.0.5/doc/libvlc/libvlc_DVD_ripper.c;158;error;memleak;Memory leak: handle
vlc-2.0.5/modules/access/cdda.c;160;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/cdda.c;163;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/ftp.c;335;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/ftp.c;336;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/ftp.c;337;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/ftp.c;342;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/gnomevfs.c;110;error;nullPointer;Possible null pointer dereference: p_sys
vlc-2.0.5/modules/access/gnomevfs.c;111;error;nullPointer;Possible null pointer dereference: p_sys
vlc-2.0.5/modules/access/gnomevfs.c;112;error;nullPointer;Possible null pointer dereference: p_sys
vlc-2.0.5/modules/access/http.c;256;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;257;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;258;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;259;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;260;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;261;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;262;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;263;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;264;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;265;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;266;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;267;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;268;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;269;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;280;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;281;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;282;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;283;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;284;error;uninitvar;Uninitialized variable: p_sys
vlc-2.0.5/modules/access/http.c;285;error;uninitvar;Uninitialized variable: p_sys
